A-B,
A-D,12.0
A-D-A,
A-I-L,
A-L,9.192388155425117
A-M,
A-N,16.263455967290593
A-R,
A-S,22.321247618314157
B-A,11.313708498984761
B-E-R,
B-Y,
C-A,
C-D,59.39696961966999
C-E,25.45584412271571
C-H,
C-K,
C-O,21.058648263045438
C-O-M,18.662797217994946
C-O-N,
C-O-N-S-T,
C-O-U-N-T,22.627416997969522
D-A,
D-F,
D-O,
D-U,
D-Y,
E-A,
E-B,
E-L,14.059397805975427
E-N,
E-O,
E-Q,
E-R,27.980813532238937
E-R-O,5.656854249492381
E-T,12.299825782738317
E-W,6.02771377334171
E-Y,
F-E,
F-I,
F-I-L,
F-O,20.506096654409877
G-E,33.06055050963308
G-I-N,8.326663997864534
G-I-N-E,
G-N,
H-E,28.378395538390354
H-E-R,16.97056274847714
H-E-R-O,
H-I,
H-O,14.849242404917497
I-C,
I-E,
I-L,12.892411943243426
I-L-E,11.313708498984761
I-L-T,
I-M,35.409038394172754
I-M-E,25.35152855352118
I-N,21.044284372767457
I-N-D,
I-N-E,2.8284271247461903
I-N-G,
I-N-S,16.97056274847714
I-N-T,
I-O-N,9.602083107326244
I-P,
I-S,
I-T,64.50555531631882
I-V,
I-V-E,
J-A,11.805366011550284
J-E,14.142135623730951
K-E,15.755573465859475
K-L-S-D,
L-A,
L-E,15.993748778819807
L-I-M,
L-S-D,
L-T,9.192388155425117
M-A,12.925427136720346
M-A-S,33.94112549695428
M-E,20.89715074097206
M-P,
N-D,30.599564267050166
N-E,5.656854249492381
N-E-W,
N-G,2.8284271247461903
N-O,1.7320508075688772
N-O-D,
N-O-R,6.363961030678928
N-S,22.50703593693907
N-S-E,
N-S-T,28.284271247461902
N-T,20.301888253723263
O-C,5.656854249492381
O-D,7.7781745930520225
O-I-N,12.0
O-I-N-T,
O-M,22.247116903687
O-M-E,12.020815280171307
O-N,17.149418768651145
O-N-S,5.656854249492381
O-N-S-T,45.254833995939045
O-R,13.613718571108091
O-S,46.22769732530488
O-T,25.45584412271571
O-U,31.178353766511528
O-U-N,
O-U-N-T,23.065125189341593
O-W,6.110100926607786
P-A,14.142135623730951
P-E-R,
R-O,12.817398889233115
R-O-M,17.428425057933374
R-O-U,14.142135623730951
S-A,0.0
S-C,
S-D,
S-D-F,
S-E,18.036999011291577
S-H,
S-I-N-E,
S-O,45.96194077712559
S-P,
S-T,8.326663997864532
S-U,
T-A,
T-E,22.859430689073854
T-H,14.047538337136984
T-I-M,8.48528137423857
T-I-M-E,12.124355652982143
T-I-O-N,26.2043253427114
T-O,13.026758175825197
T-R,
T-U-N,
U-E,15.556349186104045
U-L-T,
U-N,12.662279942148386
U-N-D,
U-N-T,14.189197769195179
U-S,
U-S-E,
V-A,
V-E,14.142135623730951
V-I-M,
W-O,
W-O-U,
W-Q,
